language, algorithm, scenario, input_size, time_ms, memory_mb
Java,quicksort_m3,random,100,0.0638,44.4648
Java,quicksort_m3,random,1000,0.2046,46.8672
Java,quicksort_m3,random,10000,1.4001,49.8555
Java,quicksort_m3,random,100000,16.1672,67.2695
Java,quicksort_m3,random,1000000,161.0770,149.3906
Java,quicksort_m3,ascending,100,0.0420,45.3320
Java,quicksort_m3,ascending,1000,0.1583,46.1758
Java,quicksort_m3,ascending,10000,0.8796,49.8242
Java,quicksort_m3,ascending,100000,7.1044,67.1016
Java,quicksort_m3,ascending,1000000,70.0520,151.4219
Java,quicksort_m3,descending,100,0.0493,45.4844
Java,quicksort_m3,descending,1000,0.1624,46.0938
Java,quicksort_m3,descending,10000,0.9233,49.6797
Java,quicksort_m3,descending,100000,8.1624,67.1680
Java,quicksort_m3,descending,1000000,79.2152,150.1523
Java,quicksort_rand,random,100,0.0431,44.8867
Java,quicksort_rand,random,1000,0.1630,45.1211
Java,quicksort_rand,random,10000,1.1329,47.6875
Java,quicksort_rand,random,100000,12.8159,65.7422
Java,quicksort_rand,random,1000000,135.9280,149.3906
Java,quicksort_rand,ascending,100,0.0247,44.0352
Java,quicksort_rand,ascending,1000,0.1074,45.3008
Java,quicksort_rand,ascending,10000,0.5742,48.1484
Java,quicksort_rand,ascending,100000,5.0338,66.0391
Java,quicksort_rand,ascending,1000000,56.1196,148.7930
Java,quicksort_rand,descending,100,0.0408,44.7969
Java,quicksort_rand,descending,1000,0.1200,45.2617
Java,quicksort_rand,descending,10000,0.6794,48.5625
Java,quicksort_rand,descending,100000,5.7569,66.0742
Java,quicksort_rand,descending,1000000,57.7372,149.8516
C,quicksort_m3,random,100,0.0159,1.6250
C,quicksort_m3,random,1000,0.2315,1.5000
C,quicksort_m3,random,10000,1.9824,1.7500
C,quicksort_m3,random,100000,26.3507,1.8594
C,quicksort_m3,random,1000000,293.4478,5.1602
C,quicksort_m3,ascending,100,0.0154,1.6250
C,quicksort_m3,ascending,1000,0.1545,1.6250
C,quicksort_m3,ascending,10000,1.6819,1.5000
C,quicksort_m3,ascending,100000,14.5216,1.7773
C,quicksort_m3,ascending,1000000,140.0396,5.1250
C,quicksort_m3,descending,100,0.0059,1.6250
C,quicksort_m3,descending,1000,0.1040,1.6250
C,quicksort_m3,descending,10000,2.0031,1.5000
C,quicksort_m3,descending,100000,15.1637,1.8008
C,quicksort_m3,descending,1000000,134.1959,5.0000
C,quicksort_rand,random,100,0.0040,1.5000
C,quicksort_rand,random,1000,0.0946,1.6250
C,quicksort_rand,random,10000,1.7540,1.7500
C,quicksort_rand,random,100000,18.0918,1.9609
C,quicksort_rand,random,1000000,197.0611,5.0586
C,quicksort_rand,ascending,100,0.0044,1.6250
C,quicksort_rand,ascending,1000,0.0628,1.6250
C,quicksort_rand,ascending,10000,1.1278,1.7500
C,quicksort_rand,ascending,100000,8.6347,1.8320
C,quicksort_rand,ascending,1000000,79.1894,5.0938
C,quicksort_rand,descending,100,0.0036,1.5000
C,quicksort_rand,descending,1000,0.0555,1.6250
C,quicksort_rand,descending,10000,0.9653,1.5000
C,quicksort_rand,descending,100000,9.5243,1.9219
C,quicksort_rand,descending,1000000,84.6219,5.2344
C++,quicksort_m3,random,100,0.0101,3.7500
C++,quicksort_m3,random,1000,0.1922,3.6250
C++,quicksort_m3,random,10000,1.1728,3.8750
C++,quicksort_m3,random,100000,12.5330,4.0820
C++,quicksort_m3,random,1000000,132.9460,7.3906
C++,quicksort_m3,ascending,100,0.0059,3.7500
C++,quicksort_m3,ascending,1000,0.1035,3.6250
C++,quicksort_m3,ascending,10000,0.6773,3.6250
C++,quicksort_m3,ascending,100000,5.2555,3.9961
C++,quicksort_m3,ascending,1000000,55.5162,7.4961
C++,quicksort_m3,descending,100,0.0083,3.7500
C++,quicksort_m3,descending,1000,0.0842,3.5000
C++,quicksort_m3,descending,10000,0.7283,3.6250
C++,quicksort_m3,descending,100000,6.1147,4.0938
C++,quicksort_m3,descending,1000000,61.7695,7.5430
C++,quicksort_rand,random,100,0.0067,3.7500
C++,quicksort_rand,random,1000,0.1156,3.7500
C++,quicksort_rand,random,10000,1.1165,3.5000
C++,quicksort_rand,random,100000,11.4573,4.0742
C++,quicksort_rand,random,1000000,128.8632,7.4492
C++,quicksort_rand,ascending,100,0.0046,3.7500
C++,quicksort_rand,ascending,1000,0.0532,3.6250
C++,quicksort_rand,ascending,10000,0.5190,3.7500
C++,quicksort_rand,ascending,100000,4.0507,3.9922
C++,quicksort_rand,ascending,1000000,42.0423,7.4258
C++,quicksort_rand,descending,100,0.0053,3.6250
C++,quicksort_rand,descending,1000,0.0860,3.7500
C++,quicksort_rand,descending,10000,0.5782,3.7500
C++,quicksort_rand,descending,100000,4.6017,3.9922
C++,quicksort_rand,descending,1000000,48.1521,7.5586
Python,quicksort_m3,random,100,0.2070,116.3594
Python,quicksort_m3,random,1000,2.1556,116.5273
Python,quicksort_m3,random,10000,25.1085,116.2227
Python,quicksort_m3,random,100000,274.9268,116.3398
Python,quicksort_m3,random,1000000,3161.1922,116.7461
Python,quicksort_m3,ascending,100,0.1805,116.4102
Python,quicksort_m3,ascending,1000,2.4670,116.6797
Python,quicksort_m3,ascending,10000,21.7283,116.5156
Python,quicksort_m3,ascending,100000,239.2484,116.3047
Python,quicksort_m3,ascending,1000000,2579.9874,116.4531
Python,quicksort_m3,descending,100,0.1816,116.5234
Python,quicksort_m3,descending,1000,2.1493,116.6211
Python,quicksort_m3,descending,10000,22.1241,116.4570
